"Year","Country","Region","Indicator","Geo","EnterpriseSize","Activity","Unit","Value","Flags","Note"
"2023A00","Romania","Sud-Vest Oltenia","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","RO41","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",0.1516,NA,NA
"2023A00","Romania","Sud-Est","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","RO22","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",0.4106,NA,NA
"2023A00","Romania","Macroregiunea doi","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","RO2","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",0.6444,NA,NA
"2023A00","Romania","Nord-Vest","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","RO11","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",0.7938,NA,NA
"2023A00","Romania","Nord-Est","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","RO21","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",0.8899,NA,NA
"2023A00","Romania","Macroregiunea patru","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","RO4","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",0.9024,NA,NA
"2023A00","Romania","Macroregiunea unu","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","RO1","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",1.0346,NA,NA
"2023A00","Romania","Sud - Muntenia","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","RO31","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",1.1681,NA,NA
"2023A00","Romania","Centru","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","RO12","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",1.3255,NA,NA
"2023A00","Hungary","Ã‰szak-MagyarorszÃ¡g","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HU31","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",1.3958,NA,NA
"2023A00","Romania","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",1.5056,NA,NA
"2023A00","Romania","Vest","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","RO42","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",1.5621,NA,NA
"2023A00","Hungary","Pest","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HU12","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",2.4086,NA,NA
"2023A00","Hungary","Ã‰szak-AlfÃ¶ld","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HU32","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",2.4117,NA,NA
"2023A00","Hungary","Nyugat-DunÃ¡ntÃºl","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HU22","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",2.5275,NA,NA
"2023A00","Hungary","AlfÃ¶ld Ã©s Ã‰szak","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HU3","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",2.6255,NA,NA
"2023A00","Romania","Macroregiunea trei","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","RO3","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",2.7626,NA,NA
"2023A00","Austria","Burgenland (AT)","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","AT11","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",2.939,NA,NA
